id,type,text1,text2,text3,text4,text5,notes
clusterbomb,WEAPON,"Launches a cluster of proximity fused unguided bomblets. Most effective against unshielded targets at short range. Due to its simple ammunition feed system, the projector and integrated autoloader can be installed in most mounts intended for ballistic or missile weapons.

A Cluster Bomb projector is equipped with three tubes designed to fire dozens of Mark II Explosively Formed Penetrator bomblets. The bomblets are unguided and have no propulsion system, relying on the initial momentum of the strike craft to engage the target. They are equipped with a friend-or-foe targeting scanner, and will only detonate when impacting an appropriate target. The shaped charge explosive is highly effective versus unshielded targets. The sheer number of bomblets that can be deployed by this weapon system is staggering, and as such it makes the Cluster Bomb a useful area denial weapon.",,,,,
shredder,WEAPON,"A rotary cannon generously engineered to provide for great ease of operation and reliability. Weapons officers across the professional navies of the Persean Sector, meanwhile, curse the Thumper for rewarding poor maintenance habits. Highly effective against exposed hull and incoming ordnance, but can be overwhelmed by massed strikes.

Shreds enemy missiles and fighters with an overwhelming hail of small payload, medium velocity fragmentation rounds. Although flux-efficient, this weapon system has little effect against armor and shields.",,,,,
chaingun,WEAPON,"The GA-X Industries Mk. II chaingun unleashes an hail of medium range explosive rounds at a high flux cost. Excels in close-range engagments, where its exceptional damage output outweighs its poor accuracy.

A 'melee' captain's favorite tool, the Assault Chaingun delivers high-explosive shaped charge rounds on target at a fearsome rate. Features powered feed and ejector systems and an advanced nano-cooling unit built right into the barrel. 

The only drawback is a heavier turret profile which, coupled with the lack of the accompanying governor blueprint, is typically mounted on incompatible rotators giving rise to unexpectedly low turret rotation speeds.",,,,,
heavymauler,WEAPON,"An advanced weapon system designed to punch through armor plating at long-range. Has a low sustained rate of fire but high per-burst damage. Fitted with a fire-control system that prevents firing at shielded targets.

The heavy mauler is a brutal weapon designed to engage targets at medium to long-range. At its core, the weapon is an autocannon with a nano-cooling system and an external ejection port. However, unlike normal autocannons, the heavy mauler is distinguished by an antimatter barrel charger fed by trivial amounts of standard starship fuel.

When leaving the firing chamber, each shell ogive is charged with a field of antiprotons which hover 10-20 nanometers to the fore of the shell, stabilized by a baryon coating. On impact with a target, this antiproton ""sheath"" loses structural integrity and the resulting reaction does further damage. Given the fact that shells already deliver impressive destructive force to the target, the combined reaction makes the heavy mauler particularly effective versus armored targets.",,,,,
gauss,WEAPON,"A long-range electromagnetic accelerator firing bursts of heavy kinetic slugs. A long recharging time and slow turret traverse limit its ability to engage small or rapidly manuvering targets.

Uses magnetic coils to accelerate a large ultra-dense composite slug to relativistic speeds. Usually rated at the hundreds of giga-amperes range, rarely exceeding one tera-ampere. And unlike most ballistic weapons, has a very high flux load when fired. Turrets mounted with this system have an extremely poor turn rate. 

Very effective weapon whose usefulness is limited by the low reactor power of ships that typically feature large ballistic weapon mounts. ",,,,,
swarmer,WEAPON,"Combining a reliable guidence system and proximity warhead, the Swarmer effectively engages missiles and fighters at short range. Near continious fire is sustained by an integrated autoloader. Effective against light ship armor, but easily stopped by point defense.

Launches bursts of small missiles. A simple infrared system provides effective tracking while chemical microthrusters provide exceptional maneuverability. Evolutionary targeting algorithms honed over centuries of real-world application allow the missiles to lead the target - they rarely miss and are very hard to avoid.",,,,,
swarmer_fighter,WEAPON,"Combining a reliable guidence system and proximity warhead, the Swarmer effectively engages missiles and fighters at short range. A miniturized autoloader allows reloading in-flight, though sustained preformance is poor. 
",,,,,
phasecl,WEAPON,"Launches low-velocity proximity charges with an massive blast radius and ability to shrug off point-defense fire. Internal phase coils are charged before launch, imposing a moderate flux load on the firing ship. Especially devastating against fighters and massed ordnance, but also effective vs poorly protected targets. Integrated loader periodically draws charges from magazines deep withing the hull.",,,,,
phasecl_bomber,WEAPON,Deploys low-velocity proximity charges with an impressive blast radius. Devastating against fighters and unprotected targets.,,,,,
mininglaser,WEAPON,"Cheap utility laser hardwired for missile and fighter defense. Long-ranged, but hampered by its low power output. Somewhat effective against lightly armored targets, due to its legacy as a mining tool.

A Mk I mining laser features a fluoride gas gain medium refitted for combat. The micro-asteroid targeting package has been repurposed to track and target incoming missiles. Mostly useless for anything larger or heavily armored targets. Has a built-in 670nm tracker beam.",,,,,
